Value,Timestamp
1,2024-12-23 14:58:50
0,2024-12-23 14:58:58
1,2024-12-23 14:59:03
0,2024-12-23 14:59:14
1,2024-12-23 15:01:37
0,2024-12-23 15:01:38
1,2024-12-23 15:01:39
0,2024-12-23 15:02:07
1,2024-12-23 15:04:58
0,2024-12-23 15:05:02
1,2024-12-23 15:05:14
0,2024-12-23 15:05:22
1,2024-12-23 15:32:27
0,2024-12-23 15:32:33
1,2024-12-23 15:32:37
0,2024-12-23 15:32:47
0,2024-12-23 15:32:50
